DATE,VALUE,LOGVALUE
6/1/05,1202.26,3.079998398
7/1/05,1222.24,3.087156493
8/1/05,1224.27,3.087877207
9/1/05,1225.91,3.088458588
10/1/05,1191.96,3.076261682
11/1/05,1237.37,3.092499582
12/1/05,1262.07,3.101083443
1/1/06,1278.72,3.106775458
2/1/06,1276.65,3.10607185
3/1/06,1293.74,3.111847006
4/1/06,1302.18,3.114671021
5/1/06,1290,3.11058971
6/1/06,1253.12,3.097992661
7/1/06,1260.24,3.10045326
8/1/06,1287.15,3.109629161
9/1/06,1317.81,3.119852799
10/1/06,1363.38,3.134616919
11/1/06,1388.63,3.142586544
12/1/06,1416.42,3.15119205
1/1/07,1424.16,3.153558784
2/1/07,1444.79,3.159804727
3/1/07,1406.95,3.148278664
4/1/07,1463.65,3.165437237
5/1/07,1511.14,3.179304702
6/1/07,1514.49,3.18026641
7/1/07,1520.7,3.182043546
8/1/07,1454.62,3.162749555
9/1/07,1497.12,3.175256612
10/1/07,1539.66,3.187424827
11/1/07,1463.39,3.165360083
12/1/07,1479.23,3.170035706
1/1/08,1378.76,3.139488675
2/1/08,1354.87,3.131897627
3/1/08,1316.94,3.119565989
4/1/08,1370.47,3.136869533
5/1/08,1403.22,3.147125766
6/1/08,1341.25,3.127509735
7/1/08,1257.33,3.099449278
8/1/08,1281.47,3.107708444
9/1/08,1217.01,3.085294147
10/1/08,968.8,2.98623413
11/1/08,883.04,2.945980377
12/1/08,877.56,2.943276819
1/1/09,865.58,2.937307213
2/1/09,805.23,2.905919947
3/1/09,757.13,2.879170455
4/1/09,848.15,2.928472666
5/1/09,902.41,2.955403899
6/1/09,926.12,2.966667263
7/1/09,935.82,2.971192323
8/1/09,1009.72,3.004200959
9/1/09,1044.55,3.018929233
10/1/09,1067.66,3.028432972
11/1/09,1088.07,3.036656836
12/1/09,1110.38,3.045471631
1/1/10,1123.58,3.050604
2/1/10,1089.16,3.037091683
3/1/10,1152.05,3.061471328
4/1/10,1197.32,3.078210237
5/1/10,1125.06,3.051175684
6/1/10,1083.36,3.034772796
7/1/10,1079.8,3.033343323
8/1/10,1087.28,3.036341399
9/1/10,1122.08,3.050023822
10/1/10,1171.58,3.068771949
11/1/10,1198.89,3.078779338
12/1/10,1241.53,3.093957218
1/1/11,1282.62,3.108098008
2/1/11,1321.12,3.120942267
3/1/11,1304.49,3.115440754
4/1/11,1331.51,3.124344432
5/1/11,1338.31,3.126556723
6/1/11,1287.29,3.109676396
7/1/11,1325.18,3.122274873
8/1/11,1185.31,3.073831948
9/1/11,1173.88,3.069623703
10/1/11,1207.22,3.081786422
11/1/11,1226.41,3.088635683
12/1/11,1243.32,3.09458292
1/1/12,1300.58,3.114137071
2/1/12,1352.49,3.131134063
3/1/12,1389.24,3.142777279
4/1/12,1386.43,3.141897947
5/1/12,1341.27,3.127516211
6/1/12,1323.48,3.121717383
7/1/12,1359.78,3.133468649
8/1/12,1403.44,3.14719385
9/1/12,1443.42,3.159392719
10/1/12,1437.82,3.15770452
11/1/12,1394.51,3.144421633
12/1/12,1422.29,3.152988157
1/1/13,1480.4,3.170379076
2/1/13,1512.31,3.179640824
3/1/13,1550.83,3.190564194
4/1/13,1570.7,3.196093244
5/1/13,1639.84,3.214801476
6/1/13,1618.77,3.209185147
7/1/13,1668.68,3.222373061
8/1/13,1670.09,3.222739876
9/1/13,1687.17,3.227158844
10/1/13,1720.03,3.235536022
11/1/13,1783.54,3.251282854
12/1/13,1807.78,3.257145577
1/1/14,1822.36,3.260634174
2/1/14,1817.03,3.259362098
3/1/14,1863.52,3.270334058
4/1/14,1864.26,3.270506481
5/1/14,1889.77,3.27640895
6/1/14,1947.09,3.289386026
7/1/14,1973.1,3.295149097
8/1/14,1961.53,3.292594955
9/1/14,1993.23,3.299557415
10/1/14,1937.27,3.287190153
11/1/14,2044.57,3.310601984
12/1/14,2054.27,3.312657524
1/1/15,2028.18,3.307106496
2/1/15,2082.2,3.318522442
3/1/15,2079.99,3.318061247
4/1/15,2094.86,3.321155004
5/1/15,2111.94,3.324681576
