DATE,VALUE,LOGVALUE
6/3/05,1198.52,3.078645286
6/10/05,1197.7,3.07834805
6/17/05,1207.85,3.082013004
6/24/05,1207.18,3.081772032
7/1/05,1195.58,3.077578641
7/8/05,1202.42,3.080056191
7/15/05,1223.87,3.087735289
7/22/05,1229.28,3.089650816
7/29/05,1234.98,3.091659924
8/5/05,1237.36,3.092496073
8/12/05,1230.37,3.090035733
8/19/05,1222.44,3.087227552
8/26/05,1213.28,3.083961039
9/2/05,1216.13,3.084980002
9/9/05,1235.73,3.09192359
9/16/05,1232.91,3.090931375
9/23/05,1218.49,3.085821969
9/30/05,1220.93,3.086690765
10/7/05,1204.99,3.080983443
10/14/05,1182.66,3.072859908
10/21/05,1184.28,3.073454395
10/28/05,1192.92,3.07661132
11/4/05,1212.92,3.083832157
11/11/05,1225.55,3.088331034
11/18/05,1237.01,3.09237321
11/25/05,1262.49,3.101227947
12/2/05,1258.83,3.099967084
12/9/05,1259.67,3.100256786
12/16/05,1267.77,3.103040471
12/23/05,1263.82,3.101685224
12/30/05,1254.36,3.098422196
1/6/06,1275.3,3.10561236
1/13/06,1289.54,3.110434818
1/20/06,1276.85,3.106139881
1/27/06,1270.58,3.104002015
2/3/06,1276.52,3.106027624
2/10/06,1263.24,3.101485869
2/17/06,1279,3.106870544
2/24/06,1288.23,3.109993409
3/3/06,1288.48,3.110077682
3/10/06,1277.28,3.106286112
3/17/06,1299.44,3.113756231
3/24/06,1302.39,3.114741053
3/31/06,1298.56,3.113462021
4/7/06,1303.97,3.1152676
4/14/06,1290.1,3.110623375
4/21/06,1305.13,3.115653773
4/28/06,1307.12,3.11631546
5/5/06,1312.85,3.118215109
5/12/06,1313.96,3.118582144
5/19/06,1277.15,3.106241908
5/26/06,1266.05,3.102450858
6/2/06,1275.97,3.105840464
6/9/06,1259.1,3.100060224
6/16/06,1239.57,3.093271057
6/23/06,1244.51,3.094998391
6/30/06,1255.77,3.098910104
7/7/06,1272.67,3.104715807
7/14/06,1255.39,3.098778665
7/21/06,1244.12,3.094862272
7/28/06,1267.99,3.103115828
8/4/06,1277.15,3.106241908
8/11/06,1270.35,3.103923392
8/18/06,1289.8,3.110522373
8/25/06,1296.1,3.112638511
9/1/06,1305.03,3.115620495
9/8/06,1301.61,3.114480877
9/15/06,1313.37,3.118387092
9/22/06,1319.5,3.120409395
9/29/06,1334.86,3.125435719
10/6/06,1343.69,3.128299085
10/13/06,1356.5,3.132419798
10/20/06,1366.92,3.135743098
10/27/06,1380.61,3.140071015
11/3/06,1371.06,3.137056461
11/10/06,1381.51,3.140354033
11/17/06,1395.03,3.144583547
11/24/06,1402.59,3.146930738
12/1/06,1393.09,3.143979175
12/8/06,1410.78,3.149459294
12/15/06,1418.08,3.151700732
12/22/06,1420.12,3.152325044
12/29/06,1421.69,3.152804909
1/5/07,1414.88,3.150719608
1/12/07,1418.87,3.151942606
1/19/07,1429.85,3.15529048
1/26/07,1427.43,3.15455482
2/2/07,1436.4,3.157275396
2/9/07,1446.28,3.160252381
2/16/07,1449.06,3.161086368
2/23/07,1456.22,3.163226991
3/2/07,1409.11,3.148944897
3/9/07,1393.25,3.144029052
3/16/07,1390.19,3.14307416
3/23/07,1423.74,3.153430687
3/30/07,1425.35,3.15392152
4/6/07,1436.36,3.157263302
4/13/07,1446.5,3.160318438
4/20/07,1473.51,3.168353088
4/27/07,1489.02,3.172900531
5/4/07,1494.52,3.174501731
5/11/07,1505.42,3.177657681
5/18/07,1510.8,3.179206976
5/25/07,1518.95,3.181543478
6/1/07,1528.83,3.184359196
6/8/07,1517.18,3.181037109
6/15/07,1514.73,3.180335227
6/22/07,1520.47,3.181977856
6/29/07,1501.21,3.176441449
7/6/07,1525.04,3.183281235
7/13/07,1532.19,3.185312624
7/20/07,1546.45,3.189335883
7/27/07,1502.46,3.176802919
8/3/07,1460.05,3.164367729
8/10/07,1469.72,3.167234604
8/17/07,1428.67,3.154931925
8/24/07,1459.72,3.164269558
8/31/07,1458.91,3.164028501
9/7/07,1473.45,3.168335403
9/14/07,1472.59,3.168081847
9/21/07,1513.99,3.180123007
9/28/07,1523.7,3.182899468
10/5/07,1546.74,3.189417317
10/12/07,1559.28,3.192924108
10/19/07,1533.84,3.185780059
10/26/07,1518.3,3.181357592
11/2/07,1527.89,3.184092088
11/9/07,1485.31,3.171817105
11/16/07,1460.14,3.164394498
11/23/07,1432.61,3.156127978
11/30/07,1451.07,3.161688363
12/7/07,1486.44,3.172147384
12/14/07,1487.31,3.172401498
12/21/07,1459.69,3.164260633
12/28/07,1487.24,3.172381057
1/4/08,1443.58,3.159440857
1/11/08,1407.37,3.148408289
1/18/08,1365.77,3.135377569
1/25/08,1332.95,3.124813859
2/1/08,1369.21,3.136470062
2/8/08,1342.42,3.127888414
2/15/08,1350.81,3.130594267
2/22/08,1351.11,3.130690708
2/29/08,1366.28,3.135539711
3/7/08,1317.9,3.119882458
3/14/08,1301.28,3.114370755
3/21/08,1308.82,3.116879923
3/28/08,1337,3.126131407
4/4/08,1360.02,3.133545295
4/11/08,1357.19,3.132640651
4/18/08,1356.67,3.132474222
4/25/08,1386.14,3.141807096
5/2/08,1399.23,3.145889108
5/9/08,1400.86,3.146394735
5/16/08,1412.84,3.150092982
5/23/08,1400.2,3.146190073
5/30/08,1393.71,3.144172416
6/6/08,1381.05,3.140209402
6/13/08,1351.12,3.130693923
6/20/08,1341.93,3.127729862
6/27/08,1303.16,3.114997741
7/4/08,1272.33,3.104599767
7/11/08,1252.72,3.097854011
7/18/08,1241.91,3.094090124
7/25/08,1265.9,3.1023994
8/1/08,1261.9,3.10102494
8/8/08,1277.09,3.106221504
8/15/08,1294.37,3.112058439
8/22/08,1277.95,3.106513862
8/29/08,1280.7,3.10744741
9/5/08,1257.93,3.099656475
9/12/08,1245.02,3.095176328
9/19/08,1204.85,3.080932982
9/26/08,1200.67,3.079423659
10/3/08,1129.46,3.052870855
10/10/08,969.44,2.986520935
10/17/08,959.24,2.98192728
10/24/08,924.42,2.965869333
10/31/08,928.47,2.967767876
11/7/08,952.14,2.978700811
11/14/08,891.01,2.949882578
11/21/08,813.78,2.910507012
11/28/08,873.28,2.941153514
12/5/08,851.41,2.930138747
12/12/08,890.19,2.949482711
12/19/08,891.87,2.950301556
12/26/08,868.94,2.93898979
1/2/09,898.78,2.9536534
1/9/09,913.78,2.960841648
1/16/09,855.71,2.932326607
1/23/09,826.23,2.91710096
1/30/09,845.48,2.927103339
2/6/09,842.13,2.925379139
2/13/09,838.56,2.923534142
2/20/09,781.65,2.893012332
2/27/09,753.86,2.8772907
3/6/09,695.19,2.842103516
3/13/09,724.96,2.860314045
3/20/09,775.79,2.889744177
3/27/09,818.34,2.91293378
4/3/09,814.67,2.910981724
4/10/09,833.19,2.920744049
4/17/09,857.44,2.93320374
4/24/09,848.83,2.92882072
5/1/09,867.33,2.938184368
5/8/09,913.44,2.960680026
5/15/09,895.49,2.95206074
5/22/09,899.33,2.953919081
5/29/09,907.34,2.957770057
6/5/09,940.38,2.973303384
6/12/09,942.36,2.974216843
6/19/09,917.2,2.962464046
6/26/09,905.65,2.956960391
7/3/09,916.58,2.962170377
7/10/09,884.22,2.946560334
7/17/09,924.14,2.965737768
7/24/09,963.07,2.983657855
7/31/09,982.24,2.992217616
8/7/09,1003.71,3.001608251
8/14/09,1004.82,3.002088271
8/21/09,999.87,2.999943538
8/28/09,1028.32,3.012128283
9/4/09,1006.61,3.002861241
9/11/09,1036.41,3.015531595
9/18/09,1060.9,3.025674449
9/25/09,1058.47,3.024678553
10/2/09,1047.15,3.020008897
10/9/09,1057.95,3.024465143
10/16/09,1085.13,3.03548177
10/23/09,1088.58,3.036860351
10/30/09,1055.06,3.023277158
11/6/09,1054.14,3.022898293
11/13/09,1093.06,3.038644002
11/20/09,1103.14,3.042630632
11/27/09,1103.5,3.042772337
12/4/09,1103.93,3.042941536
12/11/09,1099.98,3.041384789
12/18/09,1105.95,3.043735493
12/25/09,1119.79,3.049136585
1/1/10,1123.88,3.050719943
1/8/10,1138.66,3.056394065
1/15/10,1142.67,3.057920825
1/22/10,1124.13,3.050816538
1/29/10,1088.97,3.037015916
2/5/10,1083.82,3.034957161
2/12/10,1069.87,3.02933101
2/19/10,1102.58,3.04241011
2/26/10,1103.06,3.042599136
3/5/10,1122.9,3.050341082
3/12/10,1144.96,3.058790315
3/19/10,1160.38,3.064600235
3/26/10,1168,3.067442843
4/2/10,1173.51,3.069486795
4/9/10,1188.03,3.074827408
4/16/10,1201.65,3.079777991
4/23/10,1207.32,3.081822395
4/30/10,1196.12,3.077774752
5/7/10,1156.16,3.06301794
5/14/10,1156.06,3.062980375
5/21/10,1106.41,3.043916092
5/28/10,1081.62,3.034074709
6/4/10,1084.2,3.035109403
6/11/10,1069.32,3.02910769
6/18/10,1110.6,3.045557669
6/25/10,1090.2,3.037506178
7/2/10,1039.29,3.016736749
